Metric Name,Table : Columns,SQL Query,Description
"Claims by Type (Work Comp, Cargo, Crash)","Claims_Summary: [Accident or Incident Code], [Claim Number]","select [Accident or Incident Code] AS Type, COUNT(DISTINCT [Claim Number]) from PRD.CLAIMS_SUMMARY cs 
 group by [Accident or Incident Code]","Shows the distribution of claims across different claim categories (e.g., Work Compensation, Cargo, Crash). Helps identify which types of claims occur most frequently."
Claims by Driver by Date,"Claims_Summary: [Driver Name], [Occurrence Date], [Claim Number]","SELECT [Driver Name] , [Occurrence Date] AS Date, COUNT(DISTINCT [Claim Number]) FROM PRD.CLAIMS_SUMMARY cs 
 WHERE [Occurrence Date] IS NOT NULL
 GROUP BY [Driver Name] , [Occurrence Date]","Tracks which drivers were involved in claims on specific dates. Useful for spotting patterns, high-risk drivers, or repeated incidents on certain days."
Gross Reserve by Driver by Date,"Claims_Summary: [Driver Name], [Occurrence Date], [Gross Reserve]","SELECT [Driver Name] , [Occurrence Date] AS Date, SUM([Gross Reserve]) AS [Gross Reserve]
 FROM PRD.CLAIMS_SUMMARY 
 WHERE [Occurrence Date] IS NOT NULL
 GROUP BY [Driver Name] , [Occurrence Date] ",Shows the financial exposure (reserve amounts set aside) by driver per day. Useful for assessing which drivers are linked to higher reserve values and for financial risk monitoring.
Total Open Claims this Week,"Claim_Summary: [Claim Number], [Occurrence Date]","SELECT COUNT(*) AS [Number of Claims Opened This Week] FROM PRD.CLAIMS_SUMMARY WHERE [Status Flag] = 'O' AND DATEPART(WEEK, [Opened Date]) = DATEPART(WEEK, GETDATE()) AND DATEPART(YEAR, [Opened Date]) = DATEPART(YEAR, GETDATE())",Provides the total number of new open claims reported in the current calendar week. Helps track weekly claim trends and measure ongoing exposure.
Claims by Adjuster,"Claims_Summary: [Last Updated AdjusterName], [Claim Number]","SELECT [Last Updated AdjusterName] AS Adjuster , COUNT(DISTINCT [Claim Number]) AS [Claims Count] FROM PRD.CLAIMS_SUMMARY cs 
 GROUP BY [Last Updated AdjusterName] ",Shows how many claims are being managed by each adjuster. Useful for workload distribution and performance monitoring of adjusters.
Claims by Status (Open/ Closed/ Reopened),"Claims_Summary: [Status Flag], [Claim Number]","SELECT CASE WHEN [Status Flag] = 'C' THEN 'Closed'
 WHEN [Status Flag] = 'R' THEN 'Reopened'
 WHEN [Status Flag] = 'O' THEN 'Opened'
 WHEN [Status Flag] = 'I' THEN 'Incident'
 ELSE [Status Flag] END AS [Claim Status]
 , COUNT(DISTINCT [Claim Number]) AS [Claims Count]
 FROM PRD.CLAIMS_SUMMARY
 GROUP BY [Status Flag]
 ","Provides a breakdown of claims by lifecycle stage. Useful for monitoring progress, backlog of open claims, and tracking reopened claims (quality/risk insight)."
Claims by Driver Leader by Date,"Claims_Summary: [Driver Manager Name], [Occurrence Date], [Claim Number]","SELECT [Driver Manager] as [Driver Manager Code],[Driver Manager Name] AS [Driver Leader Name] , [Occurrence Date] AS Date, COUNT(DISTINCT [Claim Number]) FROM PRD.CLAIMS_SUMMARY cs 
 WHERE [Occurrence Date] IS NOT NULL and [Driver Manager] IS NOT NULL
 GROUP BY [Driver Manager Name], [Occurrence Date],[Driver Manager]
 order by cs.[Occurrence Date] DESC",Shows claims under the responsibility of each driver leader on specific dates. Useful for leadership-level accountability and identifying managers with higher-risk teams.
Number of Claims by [Accident or Incident Code],Claims_Summary: [Accident or Incident Code],"SELECT 
    [Accident or Incident Code], 
    COUNT(*) AS [Number Of Claims] 
FROM prd.CLAIMS_SUMMARY 
GROUP BY [Accident or Incident Code];
",Provides the total count of claims for each unique accident or incident category. It groups the records by [Accident or Incident Code] and counts the total number of rows within each group. The result highlights how many claims are associated with each type of accident/incident
Top Locations by Claim Frequency & Cost,"Claims_Summary: [Claim City/State], [Gross Reserve]","    SELECT
    [Claim City/State],
    COUNT(*) AS [Total Claims],
    SUM([Gross Reserve]) AS [Total Cost],
    AVG([Gross Reserve]) AS [Average Cost]
FROM PRD.CLAIMS_SUMMARY
WHERE [Claim City] IS NOT NULL AND [Claim State] IS NOT NULL
GROUP BY [Claim City/State]
ORDER BY [Total Cost] DESC;","Provides a location-based analysis of claims at the city/state level. This query calculates the total number of claims, the sum of claim costs, and the average cost per claim for each city/state combination. Results are sorted by total cost, highlighting cities or states with the greatest financial exposure and allowing risk managers to focus on high-impact geographies."
Gross Reserve Above/Below 25K,"Claims_Summary: [Claim Number],[Gross Reserve]","Select [Claim Number], CASE WHEN [Gross Reserve]>=25000 THEN 'Above' ELSE 'Below' END AS [Reserve Category] from PRD.CLAIMS_SUMMARY","Categorizes each claim based on its gross reserve amount. Claims with a gross reserve of $25,000 or more are classified as 'Above', while those below $25,000 are classified as 'Below'. This metric provides a simple way to segment claims into high-reserve versus low-reserve groups, helping analysts quickly identify potential high-cost exposures and focus on claims that may carry higher financial risk."
